Date,Returns,RF,Excess Returns,Cumulative Returns
2013-12-31,0.0037346900963004274,0.0,0.0037346900963004274,0.0037346900963004526
2014-03-31,0.04074371641730409,0.0,0.04074371641730409,0.04463057166779483
2014-06-30,0.03218683817953766,0.0,0.03218683817953766,0.07825392683546406
2014-09-30,0.015549183445569676,0.0,0.015549183445569676,0.0950198949447345
2014-12-31,0.024180977634281408,0.0,0.024180977634281408,0.12149854653348635
2015-03-31,0.022327229599634287,0.0,0.022327229599634287,0.14653850207759556
2015-06-30,-0.03005090969207951,0.0,-0.03005090969207951,0.11208397709316964
2015-09-30,0.016884433805460446,0.0,0.016884433805460446,0.13086088539051244
2015-12-31,0.0026471605163949476,0.0001,0.0025471605163949478,0.13385445567585363
2016-03-31,0.039620280689530454,0.0002,0.039420280689530456,0.1787780874708058
2016-06-30,0.041050796400878484,0.0002,0.040850796400878485,0.22716786674138678
2016-09-30,0.026751118739360272,0.0002,0.026551118739360273,0.2599959800577132
2016-12-31,-0.018469999937240005,0.0003,-0.018769999937240007,0.23672385438512467
2017-03-31,0.026463490255678727,0.0003,0.026163490255678726,0.26945188405461074
2017-06-30,0.022791624663786047,0.0006,0.022191624663786047,0.2983847549247194
2017-09-30,0.030414597139857454,0.0009,0.029514597139857452,0.3378746041782874
2017-12-31,0.01853144880661422,0.0009,0.017631448806614217,0.36266735891528645
2018-03-31,-0.009358007215602919,0.0011,-0.01045800721560292,0.3499155079380907
2018-06-30,0.0009684526888949422,0.0014000000000000002,-0.00043154731110505795,0.35122283724153425
2018-09-30,0.006961531352294549,0.0015,0.00546153135229455,0.36062941738692755
2018-12-31,0.011402973262477533,0.002,0.009402973262477533,0.37614463825353117
2019-03-31,0.04791013214687582,0.0019,0.04601013214687582,0.4420759097254725
2019-06-30,0.04689997078499822,0.0018,0.045099970784998215,0.5097092277613469
2019-09-30,0.03359990055282986,0.0018,0.03179990055282986,0.5604353076778177
2019-12-31,0.016069753631487296,0.0014000000000000002,0.014669753631487295,0.5855111186300743
2020-03-31,-0.00987109156692378,0.0013,-0.01117109156692378,0.5698603931977011
2020-06-30,0.1226020089490902,0.0001,0.12250200894909019,0.762328431173348
2020-09-30,0.04687238151486671,0.0001,0.04677238151486671,0.8449329617538015
2020-12-31,0.043653597420252516,0.0001,0.04355359742025251,0.9254709225335562
2021-03-31,-0.025497438624704355,0.0,-0.025497438624704355,0.8763763458626042
2021-06-30,0.04607728170821659,0.0,0.04607728170821659,0.9628346673415495
2021-09-30,0.012950314447369392,0.0,0.012950314447369392,0.9882539934918204
2021-12-31,0.010954283177375224,0.0001,0.010854283177375225,1.0100338907650772
2022-03-31,-0.07008126207584049,0.0001,-0.0701812620758405,0.8691681788850485
2022-06-30,-0.06758461544783334,0.0006,-0.06818461544783334,0.7428411663077756
2022-09-30,-0.03870785117676541,0.0019,-0.04060785117676541,0.675379529817594
2022-12-31,0.048430079568713924,0.0033,0.04513007956871393,0.7565182937544548
2023-03-31,0.05247078236747973,0.0036,0.04887078236747973,0.8486841828705416
2023-06-30,0.004435301935936903,0.004,0.00043530193593690255,0.8568836554057633
2023-09-30,-0.017417834347036643,0.0043,-0.02171783434703664,0.8245407634941859
2023-12-31,0.0869120529515111,0.0043,0.0826120529515111,0.983115346943183
