Date,Returns,RF,Excess Returns
2013-12-31,0.005394929147868099,0.0,0.005394929147868099
2014-01-31,0.007015592311921948,0.0,0.007015592311921948
2014-02-28,0.020228583622567076,0.0,0.020228583622567076
2014-03-31,0.002362320980363153,0.0,0.002362320980363153
2014-04-30,0.006333775224628191,0.0,0.006333775224628191
2014-05-30,0.009203015222482458,0.0,0.009203015222482458
2014-06-30,0.008351613819443049,0.0,0.008351613819443049
2014-07-31,-0.013334611857915957,0.0,-0.013334611857915957
2014-08-29,0.015847273345724444,0.0,0.015847273345724444
2014-09-30,-0.020933611571186783,0.0,-0.020933611571186783
2014-10-31,0.01189065725348426,0.0,0.01189065725348426
2014-11-28,-0.007284732239315916,0.0,-0.007284732239315916
2014-12-31,-0.01447574810617569,0.0,-0.01447574810617569
2015-01-30,0.006600822943720219,0.0,0.006600822943720219
2015-02-27,0.024103547811804793,0.0,0.024103547811804793
2015-03-31,-0.005475631941784687,0.0,-0.005475631941784687
2015-04-30,0.012070594323330575,0.0,0.012070594323330575
2015-05-29,0.003032194773923136,0.0,0.003032194773923136
2015-06-30,-0.014883969058415492,0.0,-0.014883969058415492
2015-07-31,-0.005824518333995221,0.0,-0.005824518333995221
2015-08-31,-0.01741856608524084,0.0,-0.01741856608524084
2015-09-30,-0.026024342769852438,0.0,-0.026024342769852438
2015-10-30,0.02749125680641029,0.0,0.02749125680641029
2015-11-30,-0.022225641656921313,0.0,-0.022225641656921313
2015-12-31,-0.02518585664016515,0.0001,-0.02528585664016515
2016-01-29,-0.016072789265003995,0.0001,-0.016172789265003994
2016-02-29,0.00571638587901746,0.0002,0.005516385879017461
2016-03-31,0.044446619681545174,0.0002,0.044246619681545175
2016-04-29,0.03915002093082842,0.0001,0.03905002093082842
2016-05-31,0.0061749550557068655,0.0001,0.006074955055706865
2016-06-30,0.009202600631035285,0.0002,0.009002600631035284
2016-07-29,0.027036308945785237,0.0002,0.026836308945785238
2016-08-31,0.020922456039204285,0.0002,0.020722456039204286
2016-09-30,0.006663692476239325,0.0002,0.006463692476239325
2016-10-31,0.003859552673357358,0.0002,0.003659552673357358
2016-11-30,-0.004744421532632548,0.0001,-0.004844421532632548
2016-12-30,0.01845613089422682,0.0003,0.018156130894226817
2017-01-31,0.014521597706535827,0.0004,0.014121597706535828
2017-02-28,0.014552845086648558,0.0004,0.014152845086648559
2017-03-31,-0.0022282093445530338,0.0003,-0.0025282093445530337
2017-04-28,0.011547071359934824,0.0005,0.011047071359934824
2017-05-31,0.008692791033370284,0.0006,0.008092791033370284
2017-06-30,0.0013521334245276684,0.0006,0.0007521334245276684
2017-07-31,0.011075675022461207,0.0007000000000000001,0.010375675022461207
2017-08-31,-0.00038974199080210603,0.0009,-0.001289741990802106
2017-09-29,0.008977957995425223,0.0009,0.008077957995425223
2017-10-31,0.004224909447825054,0.0009,0.003324909447825054
2017-11-30,-0.002555064723175682,0.0008,-0.0033550647231756817
2017-12-29,0.003024551332500014,0.0009,0.002124551332500014
2018-01-31,0.00599496402508759,0.0012,0.0047949640250875905
2018-02-28,-0.008497904835700454,0.0011,-0.009597904835700454
2018-03-30,-0.006041162165358216,0.0011,-0.007141162165358216
2018-04-30,0.006507210692930032,0.0014000000000000002,0.005107210692930032
2018-05-31,-0.00027751796157915454,0.0014000000000000002,-0.0016775179615791547
2018-06-29,0.004014846191807919,0.0014000000000000002,0.002614846191807919
2018-07-31,0.010910915523606235,0.0016,0.009310915523606234
2018-08-31,0.00737945705024301,0.0016,0.00577945705024301
2018-09-28,0.005565694806859867,0.0015,0.004065694806859867
2018-10-31,-0.015984680306393884,0.0019,-0.017884680306393883
2018-11-30,-0.008602336299013635,0.0018,-0.010402336299013635
2018-12-31,-0.02141312258474548,0.002,-0.023413122584745483
2019-01-31,0.04520362844094361,0.0021,0.04310362844094361
2019-02-28,0.01663100612826751,0.0018,0.014831006128267512
2019-03-29,0.009404296008596047,0.0019,0.007504296008596047
2019-04-30,0.014219166577145836,0.0021,0.012119166577145837
2019-05-31,-0.011886994116684146,0.0021,-0.013986994116684146
2019-06-28,0.02279316107719387,0.0018,0.02099316107719387
2019-07-31,0.005635614415358647,0.0019,0.0037356144153586476
2019-08-30,0.004002880178874291,0.0016,0.002402880178874291
2019-09-30,0.003642488782361397,0.0018,0.0018424887823613972
2019-10-31,0.0027595609148389766,0.0016,0.0011595609148389765
2019-11-29,0.00326766743865492,0.0012,0.00206766743865492
2019-12-31,0.01999074762031605,0.0014000000000000002,0.018590747620316053
2020-01-31,0.0002657174141114105,0.0013,-0.0010342825858885895
2020-02-28,-0.014102182426088294,0.0012,-0.015302182426088294
2020-03-31,-0.11459378600364212,0.0013,-0.11589378600364211
2020-04-30,0.045055066137080324,0.0,0.045055066137080324
2020-05-29,0.04405149214764825,0.0001,0.04395149214764825
2020-06-30,0.009790815099783634,0.0001,0.009690815099783635
2020-07-31,0.046879315763908025,0.0001,0.04677931576390802
2020-08-31,0.009507346585998055,0.0001,0.009407346585998056
2020-09-30,-0.010287490987743286,0.0001,-0.010387490987743286
2020-10-30,0.005076558139111453,0.0001,0.004976558139111453
2020-11-30,0.03956023048488788,0.0001,0.03946023048488788
2020-12-31,0.018824759788221623,0.0001,0.018724759788221624
2021-01-29,0.0033061739483757346,0.0001,0.003206173948375735
2021-02-26,0.0036746839004508924,0.0,0.0036746839004508924
2021-03-31,0.0014950730547060864,0.0,0.0014950730547060864
2021-04-30,0.010861267557847665,0.0,0.010861267557847665
2021-05-31,0.0029577978880064304,0.0,0.0029577978880064304
