Date,Portfolio Returns,Cumulative Return
2013-09-30,0.0,0.0
2013-12-31,-0.004600610353686798,-0.0046006103536867515
2014-03-31,0.03302233301861677,0.02826979977774169
2014-06-30,0.025158256221666623,0.05413927486555181
2014-09-30,0.009182375088298778,0.06381877708267458
2014-12-31,0.017576139717363843,0.08251660454263487
2015-03-31,0.013558684791194835,0.09719410596486289
2015-06-30,-0.028212761122862685,0.06623923074786342
2015-09-30,0.010246895808037889,0.07716487305177933
2015-12-31,-0.008452194640228288,0.06806046588512893
2016-03-31,0.026101447399178915,0.09593838995457227
2016-06-30,0.030633228070022313,0.12951052060474377
2016-09-30,0.013499390421904203,0.14475822410803563
2016-12-31,-0.028155998413663053,0.1125264133660222
2017-03-31,0.015236627920015363,0.12947756437766955
2017-06-30,0.013258033264733968,0.1444522154979595
2017-09-30,0.0218600336788983,0.16946997947263465
2017-12-31,0.00993607421397042,0.18108991997968538
2018-03-31,-0.01808745432075684,0.15972701000334633
2018-06-30,-0.007789012485761619,0.15069388184235533
2018-09-30,0.0006868049163434041,0.15148418405761088
2018-12-31,0.0042404324750148865,0.15636697498615493
2019-03-31,0.03983193614023117,0.2024273104884755
2019-06-30,0.039850858190405083,0.2503450707230219
2019-09-30,0.02554562044755085,0.2822859113281784
2019-12-31,0.00702581781208325,0.29129501852417117
2020-03-31,-0.022358381279719217,0.2624237521554056
2020-06-30,0.10913383057138126,0.40019689203242126
2020-09-30,0.030231458912015337,0.4425268868426311
2020-12-31,0.029545645241951798,0.48514727449326056
2021-03-31,-0.035690777261812356,0.4321412139183338
2021-06-30,0.040675662627129794,0.4903945067700841
2021-09-30,0.005728849833391564,0.4989327530918817
2021-12-31,0.0017748702331422909,0.5015931642168265
2022-03-31,-0.08166229629947408,0.3789696183192872
2022-06-30,-0.07647842057194712,0.27350819989352737
2022-09-30,-0.04459165135807801,0.21672036624222168
2022-12-31,0.03978571269380063,0.26512845316223066
2023-03-31,0.040247576700760034,0.3160468076171914
2023-06-30,-0.0010908225398827392,0.31461123409590197
2023-09-30,-0.02367372874048736,0.2834894843407183
2023-12-31,0.07852753157086408,0.384278745343156
