Date,Returns,RF,Excess Returns
2013-12-31,-0.0016337091417222283,0.0,-0.0016337091417222283
2014-01-31,0.018124805316166448,0.0,0.018124805316166448
2014-02-28,0.010398182255781485,0.0,0.010398182255781485
2014-03-31,0.0006661606537257114,0.0,0.0006661606537257114
2014-04-30,0.011978874574848586,0.0,0.011978874574848586
2014-05-30,0.0136710495889516,0.0,0.0136710495889516
2014-06-30,0.0007787579989850801,0.0,0.0007787579989850801
2014-07-31,-0.0005580686109984967,0.0,-0.0005580686109984967
2014-08-29,0.014423511739747541,0.0,0.014423511739747541
2014-09-30,-0.014427754627386324,0.0,-0.014427754627386324
2014-10-31,0.010237833968527399,0.0,0.010237833968527399
2014-11-28,0.006739184601488812,0.0,0.006739184601488812
2014-12-31,0.000607145757520744,0.0,0.000607145757520744
2015-01-30,0.030338867761184884,0.0,0.030338867761184884
2015-02-27,-0.010135261858856492,0.0,-0.010135261858856492
2015-03-31,0.003190699225440685,0.0,0.003190699225440685
2015-04-30,-0.00700325609857444,0.0,-0.00700325609857444
2015-05-29,-0.00652769324406588,0.0,-0.00652769324406588
2015-06-30,-0.018375426934799544,0.0,-0.018375426934799544
2015-07-31,0.00674819105572122,0.0,0.00674819105572122
2015-08-31,-0.005920300664483902,0.0,-0.005920300664483902
2015-09-30,0.007456142060358495,0.0,0.007456142060358495
2015-10-30,0.00417827298050133,0.0,0.00417827298050133
2015-11-30,-0.0021883186931730414,0.0,-0.0021883186931730414
2015-12-31,-0.007795607586334685,0.0001,-0.007895607586334685
2016-01-29,0.003545119526175977,0.0001,0.0034451195261759773
2016-02-29,0.008077275053900212,0.0002,0.007877275053900212
2016-03-31,0.027738135994183954,0.0002,0.027538135994183956
2016-04-29,0.013691247033812637,0.0001,0.013591247033812637
2016-05-31,-0.0007716847095660118,0.0001,-0.0008716847095660118
2016-06-30,0.022510688142720392,0.0002,0.022310688142720393
2016-07-29,0.014610489341172705,0.0002,0.014410489341172705
2016-08-31,0.001958954559377668,0.0002,0.001758954559377668
2016-09-30,-0.0024776760323056424,0.0002,-0.0026776760323056425
2016-10-31,-0.008135701940380935,0.0002,-0.008335701940380935
2016-11-30,-0.02682767342598047,0.0001,-0.02692767342598047
2016-12-30,0.00669337123659397,0.0003,0.00639337123659397
2017-01-31,0.0030805565538838398,0.0004,0.0026805565538838396
2017-02-28,0.011469080645515328,0.0004,0.011069080645515329
2017-03-31,-0.0023241943937396536,0.0003,-0.0026241943937396536
2017-04-28,0.010684318073127308,0.0005,0.010184318073127308
2017-05-31,0.011499815386380119,0.0006,0.010899815386380119
2017-06-30,0.003054906811166269,0.0006,0.0024549068111662693
2017-07-31,0.007313686486639437,0.0007000000000000001,0.006613686486639437
2017-08-31,0.007765669008526821,0.0009,0.006865669008526821
2017-09-29,-0.0017367697474898192,0.0009,-0.002636769747489819
2017-10-31,0.004037431663505453,0.0009,0.0031374316635054533
2017-11-30,-0.0014549924645973489,0.0008,-0.002254992464597349
2017-12-29,0.009121733233642182,0.0009,0.008221733233642182
2018-01-31,-0.009559649594386932,0.0012,-0.010759649594386932
2018-02-28,-0.01623498629107456,0.0011,-0.01733498629107456
2018-03-30,0.0025323798003804576,0.0011,0.0014323798003804576
2018-04-30,-0.009274873524451888,0.0014000000000000002,-0.010674873524451888
2018-05-31,0.005355648535564805,0.0014000000000000002,0.003955648535564805
2018-06-29,-0.0058088258733605125,0.0014000000000000002,-0.007208825873360513
2018-07-31,0.008311690162421836,0.0016,0.006711690162421837
2018-08-31,0.004939545335698181,0.0016,0.0033395453356981812
2018-09-28,-0.0035651501300892896,0.0015,-0.005065150130089289
2018-10-31,-0.014604489672060517,0.0019,-0.016504489672060516
2018-11-30,-0.0016650732095092602,0.0018,-0.00346507320950926
2018-12-31,0.014705776859563313,0.002,0.012705776859563313
2019-01-31,0.023520512403588434,0.0021,0.021420512403588433
2019-02-28,0.0021688378068491776,0.0018,0.00036883780684917765
2019-03-29,0.02504962368703989,0.0019,0.02314962368703989
2019-04-30,0.005429429187131962,0.0021,0.0033294291871319623
2019-05-31,0.014331188893495828,0.0021,0.012231188893495828
2019-06-28,0.024456575486065724,0.0018,0.022656575486065724
2019-07-31,0.005592506427521071,0.0019,0.0036925064275210714
2019-08-30,0.031448493013045864,0.0016,0.029848493013045863
2019-09-30,-0.006505573324977698,0.0018,-0.008305573324977698
2019-10-31,0.006070409253002396,0.0016,0.004470409253002396
2019-11-29,0.002517179517421475,0.0012,0.0013171795174214752
2019-12-31,0.003198172119245779,0.0014000000000000002,0.0017981721192457788
2020-01-31,0.023451532265530872,0.0013,0.022151532265530873
2020-02-28,0.013379408917796765,0.0012,0.012179408917796765
2020-03-31,-0.07085512964715257,0.0013,-0.07215512964715257
2020-04-30,0.05243167421394124,0.0,0.05243167421394124
2020-05-29,0.01564392348749033,0.0001,0.01554392348749033
2020-06-30,0.01960349585189669,0.0001,0.01950349585189669
2020-07-31,0.03250859510446369,0.0001,0.032408595104463686
2020-08-31,-0.013788765784508161,0.0001,-0.01388876578450816
2020-09-30,-0.002862683534952448,0.0001,-0.002962683534952448
2020-10-30,-0.0018001018707168859,0.0001,-0.001900101870716886
2020-11-30,0.027859118504902636,0.0001,0.027759118504902636
2020-12-31,0.004355147620887845,0.0001,0.0042551476208878445
2021-01-29,-0.012831854679035137,0.0001,-0.012931854679035137
2021-02-26,-0.01722627155773293,0.0,-0.01722627155773293
2021-03-31,-0.0171605735244309,0.0,-0.0171605735244309
2021-04-30,0.011077566528724825,0.0,0.011077566528724825
