Date,Returns,RF,Excess Returns,Excess Returns Quarterly,Volatility,Sharpe Ratio,5% VaR,1% VaR,Max Drawdown
2013-12-31,0.005394929147868,0.0,0.005394929147868,0.005394929147868,0.021773865221499846,0.1397524649510269,0.0252858566401651,0.06266798028335016,-0.1601404056851872
2014-01-31,0.0070155923119219,0.0,0.0070155923119219,0.0070155923119219,,,,,
2014-02-28,0.020228583622567,0.0,0.020228583622567,0.020228583622567,,,,,
2014-03-31,0.0023623209803631,0.0,0.0023623209803631,0.0023623209803631,,,,,
2014-04-30,0.0063337752246281,0.0,0.0063337752246281,0.0063337752246281,,,,,
2014-05-30,0.0092030152224824,0.0,0.0092030152224824,0.0092030152224824,,,,,
2014-06-30,0.008351613819443,0.0,0.008351613819443,0.008351613819443,,,,,
2014-07-31,-0.0133346118579159,0.0,-0.0133346118579159,-0.0133346118579159,,,,,
2014-08-29,0.0158472733457244,0.0,0.0158472733457244,0.0158472733457244,,,,,
2014-09-30,-0.0209336115711867,0.0,-0.0209336115711867,-0.0209336115711867,,,,,
2014-10-31,0.0118906572534842,0.0,0.0118906572534842,0.0118906572534842,,,,,
2014-11-28,-0.0072847322393159,0.0,-0.0072847322393159,-0.0072847322393159,,,,,
2014-12-31,-0.0144757481061756,0.0,-0.0144757481061756,-0.0144757481061756,,,,,
2015-01-30,0.0066008229437202,0.0,0.0066008229437202,0.0066008229437202,,,,,
2015-02-27,0.0241035478118047,0.0,0.0241035478118047,0.0241035478118047,,,,,
2015-03-31,-0.0054756319417846,0.0,-0.0054756319417846,-0.0054756319417846,,,,,
2015-04-30,0.0120705943233305,0.0,0.0120705943233305,0.0120705943233305,,,,,
2015-05-29,0.0030321947739231,0.0,0.0030321947739231,0.0030321947739231,,,,,
2015-06-30,-0.0148839690584154,0.0,-0.0148839690584154,-0.0148839690584154,,,,,
2015-07-31,-0.0058245183339952,0.0,-0.0058245183339952,-0.0058245183339952,,,,,
2015-08-31,-0.0174185660852408,0.0,-0.0174185660852408,-0.0174185660852408,,,,,
2015-09-30,-0.0260243427698524,0.0,-0.0260243427698524,-0.0260243427698524,,,,,
2015-10-30,0.0274912568064102,0.0,0.0274912568064102,0.0274912568064102,,,,,
2015-11-30,-0.0222256416569213,0.0,-0.0222256416569213,-0.0222256416569213,,,,,
2015-12-31,-0.0251858566401651,0.0001,-0.0252858566401651,-0.0252858566401651,,,,,
2016-01-29,-0.0160727892650039,0.0001,-0.0161727892650039,-0.0161727892650039,,,,,
2016-02-29,0.0057163858790174,0.0002,0.0055163858790174,0.0055163858790174,,,,,
2016-03-31,0.0444466196815451,0.0002,0.0442466196815451,0.0442466196815451,,,,,
2016-04-29,0.0391500209308284,0.0001,0.0390500209308284,0.0390500209308284,,,,,
2016-05-31,0.0061749550557068,0.0001,0.0060749550557068,0.006074955055706799,,,,,
2016-06-30,0.0092026006310352,0.0002,0.0090026006310352,0.0090026006310352,,,,,
2016-07-29,0.0270363089457852,0.0002,0.0268363089457852,0.0268363089457852,,,,,
2016-08-31,0.0209224560392042,0.0002,0.0207224560392042,0.020722456039204203,,,,,
2016-09-30,0.0066636924762393,0.0002,0.0064636924762393,0.006463692476239301,,,,,
2016-10-31,0.0038595526733573,0.0002,0.0036595526733573,0.0036595526733573,,,,,
2016-11-30,-0.0047444215326325,0.0001,-0.0048444215326325,-0.0048444215326325,,,,,
2016-12-30,0.0184561308942268,0.0003,0.0181561308942268,0.0181561308942268,,,,,
2017-01-31,0.0145215977065358,0.0004,0.0141215977065358,0.0141215977065358,,,,,
2017-02-28,0.0145528450866485,0.0004,0.0141528450866485,0.0141528450866485,,,,,
2017-03-31,-0.002228209344553,0.0003,-0.002528209344553,-0.002528209344553,,,,,
2017-04-28,0.0115470713599348,0.0005,0.0110470713599348,0.0110470713599348,,,,,
2017-05-31,0.0086927910333702,0.0006,0.0080927910333702,0.008092791033370201,,,,,
2017-06-30,0.0013521334245276,0.0006,0.0007521334245276,0.0007521334245276001,,,,,
2017-07-31,0.0110756750224612,0.0007,0.0103756750224612,0.0103756750224612,,,,,
2017-08-31,-0.0003897419908021,0.0009,-0.0012897419908021,-0.0012897419908021,,,,,
2017-09-29,0.0089779579954252,0.0009,0.0080779579954252,0.0080779579954252,,,,,
2017-10-31,0.004224909447825,0.0009,0.003324909447825,0.003324909447825,,,,,
2017-11-30,-0.0025550647231756,0.0008,-0.0033550647231756,-0.0033550647231755997,,,,,
2017-12-29,0.0030245513325,0.0009,0.0021245513325,0.0021245513325000003,,,,,
2018-01-31,0.0059949640250875,0.0012,0.0047949640250875,0.0047949640250875,,,,,
2018-02-28,-0.0084979048357004,0.0011,-0.0095979048357004,-0.0095979048357004,,,,,
2018-03-30,-0.0060411621653582,0.0011,-0.0071411621653582,-0.007141162165358201,,,,,
2018-04-30,0.00650721069293,0.0014,0.00510721069293,0.00510721069293,,,,,
2018-05-31,-0.0002775179615791,0.0014,-0.0016775179615791,-0.0016775179615791,,,,,
2018-06-29,0.0040148461918079,0.0014,0.0026148461918079,0.0026148461918079,,,,,
2018-07-31,0.0109109155236062,0.0016,0.0093109155236062,0.0093109155236062,,,,,
2018-08-31,0.007379457050243,0.0016,0.005779457050243,0.005779457050243,,,,,
2018-09-28,0.0055656948068598,0.0015,0.0040656948068598,0.004065694806859799,,,,,
2018-10-31,-0.0159846803063938,0.0019,-0.0178846803063938,-0.0178846803063938,,,,,
2018-11-30,-0.0086023362990136,0.0018,-0.0104023362990136,-0.0104023362990136,,,,,
