Date,Returns,RF,Excess Returns,Cumulative Returns,Excess Returns Quarterly,Volatility,Sharpe Ratio,5% VaR,1% VaR,Max Drawdown
2013-12-31,0.0037346900963004,0.0,0.0037346900963004,0.0037346900963004,0.0037346900963004,0.03535244772830875,0.4103689180877638,0.044407851176765406,0.06998260342463755,-0.1926832710249306
2014-03-31,0.040743716417304,0.0,0.040743716417304,0.0446305716677948,0.040743716417304,,,,,
2014-06-30,0.0321868381795376,0.0,0.0321868381795376,0.078253926835464,0.0321868381795376,,,,,
2014-09-30,0.0155491834455696,0.0,0.0155491834455696,0.0950198949447345,0.0155491834455696,,,,,
2014-12-31,0.0241809776342814,0.0,0.0241809776342814,0.1214985465334863,0.0241809776342814,,,,,
2015-03-31,0.0223272295996342,0.0,0.0223272295996342,0.1465385020775955,0.0223272295996342,,,,,
2015-06-30,-0.0300509096920795,0.0,-0.0300509096920795,0.1120839770931696,-0.0300509096920795,,,,,
2015-09-30,0.0168844338054604,0.0,0.0168844338054604,0.1308608853905124,0.0168844338054604,,,,,
2015-12-31,0.0026471605163949,0.0001,0.0025471605163949,0.1338544556758536,0.0023471605163949,,,,,
2016-03-31,0.0396202806895304,0.0002,0.0394202806895304,0.1787780874708058,0.039020280689530396,,,,,
2016-06-30,0.0410507964008784,0.0002,0.0408507964008784,0.2271678667413867,0.0404507964008784,,,,,
2016-09-30,0.0267511187393602,0.0002,0.0265511187393602,0.2599959800577132,0.0261511187393602,,,,,
2016-12-31,-0.01846999993724,0.0003,-0.01876999993724,0.2367238543851246,-0.019369999937240003,,,,,
2017-03-31,0.0264634902556787,0.0003,0.0261634902556787,0.2694518840546107,0.025563490255678698,,,,,
2017-06-30,0.022791624663786,0.0006,0.022191624663786,0.2983847549247194,0.020991624663786,,,,,
2017-09-30,0.0304145971398574,0.0009,0.0295145971398574,0.3378746041782874,0.0277145971398574,,,,,
2017-12-31,0.0185314488066142,0.0009,0.0176314488066142,0.3626673589152864,0.0158314488066142,,,,,
2018-03-31,-0.0093580072156029,0.0011,-0.0104580072156029,0.3499155079380907,-0.012658007215602899,,,,,
2018-06-30,0.0009684526888949,0.0014,-0.000431547311105,0.3512228372415342,-0.0032315473111050996,,,,,
2018-09-30,0.0069615313522945,0.0015,0.0054615313522945,0.3606294173869275,0.0024615313522944994,,,,,
2018-12-31,0.0114029732624775,0.002,0.0094029732624775,0.3761446382535311,0.0054029732624775,,,,,
2019-03-31,0.0479101321468758,0.0019,0.0460101321468758,0.4420759097254725,0.0422101321468758,,,,,
2019-06-30,0.0468999707849982,0.0018,0.0450999707849982,0.5097092277613469,0.041499970784998196,,,,,
2019-09-30,0.0335999005528298,0.0018,0.0317999005528298,0.5604353076778177,0.028199900552829796,,,,,
2019-12-31,0.0160697536314872,0.0014,0.0146697536314872,0.5855111186300743,0.0118697536314872,,,,,
2020-03-31,-0.0098710915669237,0.0013,-0.0111710915669237,0.5698603931977011,-0.013771091566923698,,,,,
2020-06-30,0.1226020089490902,0.0001,0.1225020089490901,0.762328431173348,0.1223020089490902,,,,,
2020-09-30,0.0468723815148667,0.0001,0.0467723815148667,0.8449329617538015,0.0465723815148667,,,,,
2020-12-31,0.0436535974202525,0.0001,0.0435535974202525,0.9254709225335562,0.0433535974202525,,,,,
2021-03-31,-0.0254974386247043,0.0,-0.0254974386247043,0.8763763458626042,-0.0254974386247043,,,,,
2021-06-30,0.0460772817082165,0.0,0.0460772817082165,0.9628346673415497,0.0460772817082165,,,,,
2021-09-30,0.0129503144473693,0.0,0.0129503144473693,0.9882539934918204,0.0129503144473693,,,,,
2021-12-31,0.0109542831773752,0.0001,0.0108542831773752,1.0100338907650772,0.0106542831773752,,,,,
2022-03-31,-0.0700812620758404,0.0001,-0.0701812620758405,0.8691681788850485,-0.07038126207584039,,,,,
2022-06-30,-0.0675846154478333,0.0006,-0.0681846154478333,0.7428411663077756,-0.0693846154478333,,,,,
2022-09-30,-0.0387078511767654,0.0019,-0.0406078511767654,0.675379529817594,-0.044407851176765406,,,,,
2022-12-31,0.0484300795687139,0.0033,0.0451300795687139,0.7565182937544548,0.038530079568713904,,,,,
2023-03-31,0.0524707823674797,0.0036,0.0488707823674797,0.8486841828705416,0.0416707823674797,,,,,
2023-06-30,0.0044353019359369,0.004,0.0004353019359369,0.8568836554057633,-0.0075646980640631,,,,,
2023-09-30,-0.0174178343470366,0.0043,-0.0217178343470366,0.8245407634941859,-0.030317834347036603,,,,,
2023-12-31,0.0869120529515111,0.0043,0.0826120529515111,0.983115346943183,0.0740120529515111,,,,,
